filename,line_number,declaration,reason,call_count,bindgen,public,highlight
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,11802,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_CIPHER_key_length""] pub fn EVP_CIPHER_key_length(cipher: *const EVP_CIPHER) -> ::std::os::raw::c_uint;",extern,23,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,13604,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EC_POINT_new""] pub fn EC_POINT_new(group: *const EC_GROUP) -> *mut EC_POINT;",extern,23,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,14697,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_AEAD_CTX_open_gather""] pub fn EVP_AEAD_CTX_open_gather( ctx: *const EVP_AEAD_CTX, out: *mut u8, nonce: *const u8, nonce_len: usize, in_: *const u8, in_len: usize, in_tag: *const u8, in_tag_len: usize, ad: *const u8, ad_len: usize, ) -> ::std::os::raw::c_int;",extern,23,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,15009,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_PKEY_bits""] pub fn EVP_PKEY_bits(pkey: *const EVP_PKEY) -> ::std::os::raw::c_int;",extern,23,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,15065,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_PKEY_assign_EC_KEY""] pub fn EVP_PKEY_assign_EC_KEY(pkey: *mut EVP_PKEY, key: *mut EC_KEY) -> ::std::os::raw::c_int;",extern,23,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,15144,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_PKEY_get_raw_private_key""] pub fn EVP_PKEY_get_raw_private_key( pkey: *const EVP_PKEY, out: *mut u8, out_len: *mut usize, ) -> ::std::os::raw::c_int;",extern,23,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,15381,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_PKEY_sign""] pub fn EVP_PKEY_sign( ctx: *mut EVP_PKEY_CTX, sig: *mut u8, sig_len: *mut usize, digest: *const u8, digest_len: usize, ) -> ::std::os::raw::c_int;",extern,23,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,15409,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_PKEY_encrypt""] pub fn EVP_PKEY_encrypt( ctx: *mut EVP_PKEY_CTX, out: *mut u8, out_len: *mut usize, in_: *const u8, in_len: usize, ) -> ::std::os::raw::c_int;",extern,23,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,15423,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_PKEY_decrypt""] pub fn EVP_PKEY_decrypt( ctx: *mut EVP_PKEY_CTX, out: *mut u8, out_len: *mut usize, in_: *const u8, in_len: usize, ) -> ::std::os::raw::c_int;",extern,23,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,15508,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_PKEY_CTX_set_signature_md""] pub fn EVP_PKEY_CTX_set_signature_md( ctx: *mut EVP_PKEY_CTX, md: *const EVP_MD, ) -> ::std::os::raw::c_int;",extern,23,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,15592,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_PKEY_CTX_set0_rsa_oaep_label""] pub fn EVP_PKEY_CTX_set0_rsa_oaep_label( ctx: *mut EVP_PKEY_CTX, label: *mut u8, label_len: usize, ) -> ::std::os::raw::c_int;",extern,23,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,26515,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_ERR_GET_LIB_RUST""] pub fn ERR_GET_LIB_RUST(packed_error: u32) -> ::std::os::raw::c_int;",extern,23,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,26523,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_ERR_GET_FUNC_RUST""] pub fn ERR_GET_FUNC_RUST(packed_error: u32) -> ::std::os::raw::c_int;",extern,23,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,4579,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_AES_ctr128_encrypt""] pub fn AES_ctr128_encrypt( in_: *const u8, out: *mut u8, len: usize, key: *const AES_KEY, ivec: *mut u8, ecount_buf: *mut u8, num: *mut ::std::os::raw::c_uint, );",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,4644,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_AES_unwrap_key""] pub fn AES_unwrap_key( key: *const AES_KEY, iv: *const u8, out: *mut u8, in_: *const u8, in_len: usize, ) -> ::std::os::raw::c_int;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,4665,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_AES_unwrap_key_padded""] pub fn AES_unwrap_key_padded( key: *const AES_KEY, out: *mut u8, out_len: *mut usize, max_out: usize, in_: *const u8, in_len: usize, ) -> ::std::os::raw::c_int;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,5464,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_CRYPTO_memcmp""] pub fn CRYPTO_memcmp( a: *const ::std::os::raw::c_void, b: *const ::std::os::raw::c_void, len: usize, ) -> ::std::os::raw::c_int;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,5928,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_FIPS_mode""] pub fn FIPS_mode() -> ::std::os::raw::c_int;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,7431,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_BN_new""] pub fn BN_new() -> *mut BIGNUM;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,10776,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_CBS_init""] pub fn CBS_init(cbs: *mut CBS, data: *const u8, len: usize);",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,11351,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_CBB_init_fixed""] pub fn CBB_init_fixed(cbb: *mut CBB, buf: *mut u8, len: usize) -> ::std::os::raw::c_int;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,11555,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_aes_128_ecb""] pub fn EVP_aes_128_ecb() -> *const EVP_CIPHER;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,11563,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_aes_128_ctr""] pub fn EVP_aes_128_ctr() -> *const EVP_CIPHER;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,11571,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_aes_256_ecb""] pub fn EVP_aes_256_ecb() -> *const EVP_CIPHER;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,11579,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_aes_256_ctr""] pub fn EVP_aes_256_ctr() -> *const EVP_CIPHER;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,11653,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_EncryptInit_ex""] pub fn EVP_EncryptInit_ex( ctx: *mut EVP_CIPHER_CTX, cipher: *const EVP_CIPHER, impl_: *mut ENGINE, key: *const u8, iv: *const u8, ) -> ::std::os::raw::c_int;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,11673,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_EncryptUpdate""] pub fn EVP_EncryptUpdate( ctx: *mut EVP_CIPHER_CTX, out: *mut u8, out_len: *mut ::std::os::raw::c_int, in_: *const u8, in_len: ::std::os::raw::c_int, ) -> ::std::os::raw::c_int;",extern,22,False,False,False
